target_id	length	eff_length	est_counts	tpm
HOVITM_000001-T1	162	76.8522	0	0
HOVITM_000002-T1	240	69.2292	0	0
HOVITM_000003-T1	486	129.276	0	0
HOVITM_000004-T1	252	66.972	0	0
HOVITM_000005-T1	297	63.0084	0	0
HOVITM_000006-T1	354	71.9261	0	0
HOVITM_000007-T1	261	64.8992	0	0
HOVITM_000008-T1	384	81.0786	0	0
HOVITM_000009-T1	264	64.3364	0	0
HOVITM_000010-T1	231	71.4961	0	0
HOVITM_000011-T1	306	63.262	0	0
HOVITM_000012-T1	222	73.9191	0	0
HOVITM_000013-T1	396	85.7299	0	0
HOVITM_000014-T1	360	73.407	0	0
HOVITM_000015-T1	786	373.442	0	0
HOVITM_000016-T1	1011	594.019	0	0
HOVITM_000017-T1	264	64.3364	0	0
HOVITM_000018-T1	240	69.2292	0	0
HOVITM_000019-T1	468	119.208	0	0
HOVITM_000020-T1	936	519.784	0	0
HOVITM_000021-T1	291	63.0222	0	0
HOVITM_000022-T1	240	69.2292	0	0
HOVITM_000023-T1	1401	1205.12	32	0.396363
HOVITM_000024-T1	324	65.1377	0	0
HOVITM_000025-T1	306	63.262	0	0
HOVITM_000026-T1	246	67.3211	0	0
HOVITM_000027-T1	288	62.9177	0	0
HOVITM_000028-T1	411	91.7457	0	0
HOVITM_000029-T1	381	79.9436	0	0
HOVITM_000030-T1	378	78.9285	0	0
HOVITM_000031-T1	276	63.5273	0	0
HOVITM_000032-T1	582	193.58	0	0
HOVITM_000033-T1	756	345.1	0	0
HOVITM_000034-T1	561	178.144	0	0
HOVITM_000035-T1	354	71.9261	0	0
HOVITM_000036-T1	168	77.578	0	0
HOVITM_000037-T1	489	130.898	0	0
HOVITM_000038-T1	282	63.2395	0	0
HOVITM_000039-T1	297	63.0084	0	0
HOVITM_000040-T1	156	76.3233	0	0
HOVITM_000041-T1	387	82.295	0	0
HOVITM_000042-T1	393	84.6248	0	0
HOVITM_000043-T1	351	71.1328	0	0
HOVITM_000044-T1	849	434.388	0	0
HOVITM_000045-T1	435	102.523	0	0
HOVITM_000046-T1	561	178.144	0	0
HOVITM_000047-T1	1341	924.019	0	0
HOVITM_000048-T1	381	79.9436	0	0
HOVITM_000049-T1	273	63.956	0	0
HOVITM_000050-T1	234	70.2237	0	0
HOVITM_000051-T1	507	141.689	0	0
HOVITM_000052-T1	900	484.413	0	0
HOVITM_000053-T1	423	97.0639	0	0
HOVITM_000054-T1	588	198.067	0	0
HOVITM_000055-T1	192	79.2705	0	0
HOVITM_000056-T1	864	449.068	0	0
HOVITM_000057-T1	324	65.1377	13	2.9791
HOVITM_000058-T1	246	67.3211	0	0
HOVITM_000059-T1	210	76.0851	0	0
HOVITM_000060-T1	1074	657.019	0	0
HOVITM_000061-T1	387	82.295	0	0
HOVITM_000062-T1	363	74.264	0	0
HOVITM_000063-T1	303	63.0318	0	0
HOVITM_000064-T1	387	82.295	0	0
HOVITM_000065-T1	1089	672.019	0	0
HOVITM_000066-T1	312	63.367	0	0
HOVITM_000067-T1	375	77.9137	0	0
HOVITM_000068-T1	378	78.9285	0	0
HOVITM_000069-T1	342	68.831	0	0
HOVITM_000070-T1	79	41.6471	0	0
HOVITM_000071-T1	336	67.4427	0	0
HOVITM_000072-T1	198	77.8897	0	0
HOVITM_000073-T1	270	64.2814	0	0
HOVITM_000074-T1	386	81.878	0	0
HOVITM_000075-T1	547	168.275	0	0
HOVITM_000076-T1	324	65.1377	0	0
HOVITM_000077-T1	282	63.2395	7	1.65228
HOVITM_000078-T1	312	63.367	4	0.94226
HOVITM_000079-T1	210	76.0851	0	0
HOVITM_000080-T1	474	122.394	0	0
HOVITM_000081-T1	294	62.8815	0	0
HOVITM_000082-T1	480	125.81	0	0
HOVITM_000083-T1	660	257.267	0	0
HOVITM_000084-T1	402	88.0801	0	0
HOVITM_000085-T1	354	71.9261	0	0
HOVITM_000086-T1	411	91.7457	0	0
HOVITM_000087-T1	366	75.0727	0	0
HOVITM_000088-T1	351	71.1328	0	0
HOVITM_000089-T1	468	119.208	0	0
HOVITM_000090-T1	297	63.0084	0	0
HOVITM_000091-T1	198	77.8897	0	0
HOVITM_000092-T1	183	78.7251	0	0
HOVITM_000093-T1	168	77.578	0	0
HOVITM_000094-T1	690	283.942	0	0
HOVITM_000095-T1	244	67.9293	0	0
HOVITM_000096-T1	171	78.1934	0	0
HOVITM_000097-T1	1008	591.019	0	0
HOVITM_000098-T1	504	139.871	0	0
HOVITM_000099-T1	318	64.2589	0	0
HOVITM_000100-T1	330	65.8223	0	0
HOVITM_000101-T1	405	89.2023	0	0
HOVITM_000102-T1	186	79.3123	0	0
HOVITM_000103-T1	270	64.2814	0	0
HOVITM_000104-T1	543	165.448	27	2.43599
HOVITM_000105-T1	441	105.39	0	0
HOVITM_000106-T1	501	138.005	0	0
HOVITM_000107-T1	174	78.7181	0	0
HOVITM_000108-T1	219	74.9276	0	0
HOVITM_000109-T1	519	149.422	0	0
HOVITM_000110-T1	237	69.7027	0	0
HOVITM_000111-T1	429	99.8231	9	1.34581
HOVITM_000112-T1	693	286.631	18	0.937395
HOVITM_000113-T1	891	645.063	193	4.4661
HOVITM_000114-T1	285	62.8104	0	0
HOVITM_000115-T1	882	550.981	23.1419	0.626956
HOVITM_000116-T1	330	65.8223	0	0
HOVITM_000117-T1	240	69.2292	0	0
HOVITM_000118-T1	297	63.0084	0	0
HOVITM_000119-T1	516	147.488	0	0
HOVITM_000120-T1	282	63.2395	0	0
HOVITM_000121-T1	444	106.848	0	0
HOVITM_000122-T1	213	76.3489	0	0
HOVITM_000123-T1	540	163.288	0	0
HOVITM_000124-T1	954	537.498	0	0
HOVITM_000125-T1	282	63.2395	0	0
HOVITM_000126-T1	404	88.7752	0	0
HOVITM_000127-T1	231	71.4961	0	0
HOVITM_000128-T1	162	76.8522	0	0
HOVITM_000129-T1	594	202.676	19	1.39935
HOVITM_000130-T1	357	72.5715	0	0
HOVITM_000131-T1	198	77.8897	1	0.191643
HOVITM_000132-T1	852	416.549	123	4.40771
HOVITM_000133-T1	786	373.442	46	1.83869
HOVITM_000134-T1	606	212.217	120	8.44062
HOVITM_000135-T1	523	152.084	0	0
HOVITM_000136-T1	384	81.0786	0	0
HOVITM_000137-T1	750	339.322	14	0.615872
HOVITM_000138-T1	186	79.3123	0	0
HOVITM_000139-T1	459	114.414	0	0
HOVITM_000140-T1	207	76.7075	1	0.194597
HOVITM_000141-T1	702	294.657	0	0
HOVITM_000142-T1	579	191.236	0	0
HOVITM_000143-T1	384	81.0786	0	0
HOVITM_000144-T1	447	108.413	0	0
HOVITM_000145-T1	405	89.2023	0	0
HOVITM_000146-T1	426	98.5425	19.1456	2.90014
HOVITM_000147-T1	402	88.0801	0	0
HOVITM_000148-T1	849	434.388	0	0
HOVITM_000149-T1	249	67.1152	0	0
HOVITM_000150-T1	321	64.5544	2	0.462464
HOVITM_000151-T1	513	145.533	0	0
HOVITM_000152-T1	630	231.797	0	0
HOVITM_000153-T1	468	119.208	0	0
HOVITM_000154-T1	597	205.052	0	0
HOVITM_000155-T1	837	422.776	280	9.88603
HOVITM_000156-T1	474	122.394	20	2.43918
HOVITM_000157-T1	456	112.909	0	0
HOVITM_000158-T1	252	66.972	0	0
HOVITM_000159-T1	480	125.81	0	0
HOVITM_000160-T1	234	70.2237	0	0
HOVITM_000161-T1	279	63.377	0	0
HOVITM_000162-T1	195	78.5629	0	0
HOVITM_000163-T1	192	79.2705	0	0
HOVITM_000164-T1	345	69.6126	0	0
HOVITM_000165-T1	441	105.39	0	0
HOVITM_000166-T1	1185	844.829	3689	65.1799
HOVITM_000167-T1	541	163.99	52.2367	4.7548
HOVITM_000168-T1	1161	887.498	7.0018	0.117765
HOVITM_000169-T1	1254	941.237	59	0.935679
HOVITM_000170-T1	333	66.7314	0	0
HOVITM_000171-T1	1185	836.752	8.00219	0.142753
HOVITM_000172-T1	303	63.0318	0	0
HOVITM_000173-T1	1008	591.019	0	0
HOVITM_000174-T1	1008	591.019	0	0
HOVITM_000175-T1	1050	633.019	0	0
HOVITM_000176-T1	1029	612.019	0	0
HOVITM_000177-T1	339	68.2202	0	0
HOVITM_000178-T1	1068	748.266	6	0.119693
HOVITM_000179-T1	714	305.731	2	0.0976483
HOVITM_000180-T1	573	186.711	1	0.0799473
HOVITM_000181-T1	1032	618.896	3	0.0723565
HOVITM_000182-T1	1071	798.827	4	0.0747448
HOVITM_000183-T1	342	68.831	0	0
HOVITM_000184-T1	765	353.669	703	29.671
HOVITM_000185-T1	285	62.8104	0	0
HOVITM_000186-T1	210	76.0851	0	0
HOVITM_000187-T1	336	67.4427	0	0
HOVITM_000188-T1	204	76.4647	0	0
HOVITM_000189-T1	1365	1205.98	23	0.284684
HOVITM_000190-T1	165	77.4127	0	0
HOVITM_000191-T1	303	63.0318	0	0
HOVITM_000192-T1	1566	1149.02	0	0
HOVITM_000193-T1	402	88.0801	0	0
HOVITM_000194-T1	429	99.8231	0	0
HOVITM_000195-T1	585	195.846	0	0
HOVITM_000196-T1	1716	1398.4	651	6.94901
HOVITM_000197-T1	582	193.58	585	45.1095
HOVITM_000198-T1	723	314.068	67	3.18438
HOVITM_000199-T1	71	35.6167	0	0
HOVITM_000200-T1	71	35.6167	0	0
HOVITM_000201-T1	696	289.371	1	0.0515845
HOVITM_000202-T1	585	195.846	132.187	10.075
HOVITM_000203-T1	309	63.3187	65	15.3234
HOVITM_000204-T1	393	84.6248	2.84164	0.501239
HOVITM_000205-T1	363	74.264	3.5	0.703499
HOVITM_000206-T1	177	78.6742	0	0
HOVITM_000207-T1	492	132.674	11	1.2376
HOVITM_000208-T1	1794	1230.54	1829	22.1867
HOVITM_000209-T1	357	72.5715	44	9.05024
HOVITM_000210-T1	74	38.2712	0	0
HOVITM_000211-T1	555	173.993	11993	1028.89
HOVITM_000212-T1	165	77.4127	0	0
HOVITM_000213-T1	300	63.0464	0	0
HOVITM_000214-T1	1482	1081.17	968	13.3645
HOVITM_000215-T1	549	169.682	0	0
HOVITM_000216-T1	324	65.1377	0	0
HOVITM_000217-T1	387	82.295	66	11.9714
HOVITM_000218-T1	225	73.0939	0	0
HOVITM_000219-T1	663	259.847	0	0
HOVITM_000220-T1	213	76.3489	0	0
HOVITM_000221-T1	447	108.413	0	0
HOVITM_000222-T1	330	65.8223	108	24.492
HOVITM_000223-T1	1203	835.76	282	5.03665
HOVITM_000224-T1	1344	964.871	168	2.59905
HOVITM_000225-T1	606	212.217	113	7.94825
HOVITM_000226-T1	318	64.2589	0	0
HOVITM_000227-T1	234	70.2237	3	0.637693
HOVITM_000228-T1	1071	708.776	11	0.231664
HOVITM_000229-T1	237	69.7027	0	0
HOVITM_000230-T1	498	136.19	0	0
HOVITM_000231-T1	357	72.5715	0	0
HOVITM_000232-T1	300	63.0464	0	0
HOVITM_000233-T1	225	73.0939	11	2.24639
HOVITM_000234-T1	549	169.682	0	0
HOVITM_000235-T1	321	64.5544	0	0
HOVITM_000236-T1	399	86.8609	0	0
HOVITM_000237-T1	627	229.326	0	0
HOVITM_000238-T1	495	134.427	0	0
HOVITM_000239-T1	276	63.5273	0	0
HOVITM_000240-T1	777	365.001	0	0
HOVITM_000241-T1	282	63.2395	0	0
HOVITM_000242-T1	423	97.0639	8	1.23029
HOVITM_000243-T1	1059	642.019	0	0
HOVITM_000244-T1	243	68.3948	0	0
HOVITM_000245-T1	507	141.689	0	0
HOVITM_000246-T1	300	63.0464	0	0
HOVITM_000247-T1	609	214.618	0	0
HOVITM_000248-T1	456	112.909	0	0
